bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,sqft_above,sqft_basement,yr_built,water_view_score,zipcode,sqft_per_bedroom,age,predicted_price
3.0,1.75,1840,7412,1.0,4,1240,600,1976,0,98031,460.0,49,258493.37621483562
3.0,1.0,1410,7200,2.0,4,1410,0,1901,0,98144,352.5,124,486258.12821273
3.0,2.0,1560,8640,1.0,5,1560,0,1967,0,98034,390.0,58,480630.8648001463
3.0,3.25,2940,5432,3.0,4,2440,500,1978,3,98109,735.0,47,1214571.6013891995
3.0,2.5,2810,5400,2.0,3,2810,0,2005,0,98052,702.5,20,754137.1281238481
4.0,2.5,2610,4595,2.0,3,2610,0,2008,0,98028,522.0,17,550603.5056064522
4.0,2.5,3230,7331,2.0,3,3230,0,2004,0,98075,646.0,21,773832.174002762
4.0,1.75,2010,8625,1.0,4,1340,670,1957,0,98133,402.0,68,421298.27691773063
3.0,1.75,1700,17355,1.0,3,1200,500,1978,0,98038,425.0,47,230373.7407822201
5.0,2.5,2340,13713,1.0,2,1670,670,1967,0,98003,390.0,58,286137.09171136597
4.0,2.5,3740,8700,1.0,3,2260,1480,2004,0,98058,748.0,21,573379.32855093
2.0,2.5,2510,14878,2.0,3,2510,0,1990,0,98011,836.6666666666666,35,550033.3584947895
3.0,2.5,2860,4442,2.0,3,2860,0,2000,0,98199,715.0,25,900799.9170377192
3.0,2.5,1820,8085,2.0,3,1820,0,1983,0,98055,455.0,42,345071.15808279125
3.0,2.5,1670,8364,1.0,4,1300,370,1990,0,98042,417.5,35,247609.21461824386
3.0,1.5,1620,6630,1.0,3,1280,340,1954,0,98117,405.0,71,520163.19087761606
2.0,2.5,1380,951,3.0,3,1380,0,2006,0,98103,460.0,19,513738.52291284385
3.0,2.25,2950,78843,1.5,3,2950,0,2006,0,98075,737.5,19,742694.9231586808
4.0,1.75,1980,10800,1.0,5,990,990,1948,0,98040,396.0,77,744342.9955117477
3.0,1.0,1390,12823,1.0,4,1390,0,1968,0,98077,347.5,57,381134.9731298263
3.0,1.75,1840,8601,1.0,3,920,920,1905,0,98118,460.0,120,395594.9705431287
3.0,1.0,1580,5000,1.5,3,1580,0,1926,0,98117,395.0,99,520586.1533761219
4.0,2.5,3950,10856,3.0,3,3950,0,2013,0,98075,790.0,12,892778.2396600634
5.0,2.5,2920,5568,2.0,3,2320,600,1906,0,98112,486.6666666666667,119,1076138.4580949307
3.0,1.5,1550,4980,1.0,3,1080,470,1978,0,98133,387.5,47,327818.6442281022
4.0,2.5,2670,8765,2.0,3,2670,0,2006,0,98059,534.0,19,516738.78719574225
2.0,2.5,1380,1073,2.0,3,1140,240,2011,0,98126,460.0,14,377014.0854808449
3.0,2.75,2810,18731,2.0,4,2810,0,1974,8,98052,702.5,51,1215358.3067049645
4.0,1.5,1550,5053,1.0,4,1180,370,1963,0,98118,310.0,62,371839.01509141666
4.0,3.5,3500,8547,2.0,3,2500,1000,1994,0,98006,700.0,31,856066.6957090625
3.0,1.0,1230,12305,1.0,3,1230,0,1955,0,98004,307.5,70,848822.8731075728
4.0,2.25,3070,8400,2.0,4,3070,0,1970,0,98034,614.0,55,734578.6154095381
4.0,2.5,3190,11375,1.0,5,2210,980,1946,0,98125,638.0,79,699997.595766155
4.0,3.0,2400,3340,1.0,4,1200,1200,1964,0,98107,480.0,61,676938.8093764876
3.0,2.5,2200,11000,2.0,3,2200,0,1978,2,98008,550.0,47,718486.4124359362
3.0,2.5,2190,4882,2.0,3,2190,0,1999,0,98155,547.5,26,481976.9861845096
2.0,1.0,940,9839,1.0,3,940,0,1910,0,98136,313.3333333333333,115,376078.56575623446
3.0,1.75,1560,4049,1.5,3,1000,560,1926,2,98126,390.0,99,484825.22307744675
3.0,2.5,1630,7950,1.0,3,1320,310,1985,0,98042,407.5,40,224587.21243482467
3.0,2.5,1420,1237,3.0,3,1420,0,2014,0,98107,355.0,11,497192.75107205426
4.0,2.5,3290,6203,2.0,3,3290,0,2008,0,98065,658.0,17,652757.0081197508
3.0,1.0,1050,9876,1.0,3,1050,0,1953,0,98028,262.5,72,239609.41833679337
2.0,1.0,650,5400,1.0,3,650,0,1950,0,98122,216.66666666666666,75,380976.46205761435
3.0,1.75,1700,8432,1.0,3,1230,470,1977,0,98125,425.0,48,383834.6985874623
4.0,1.75,2600,11325,1.0,4,1610,990,1969,0,98031,520.0,56,364923.3737969191
5.0,2.25,2980,7781,1.0,3,1580,1400,1960,0,98125,496.6666666666667,65,547363.9860011818
5.0,2.5,2200,4080,1.5,5,1420,780,1916,0,98103,366.6666666666667,109,666563.7938933948
1.0,1.0,960,2640,1.0,3,760,200,1908,0,98112,480.0,117,759508.9862536995
3.0,2.25,2120,14915,1.0,3,1720,400,1979,0,98001,530.0,46,313261.6130140632
3.0,1.0,1590,13000,1.5,3,1590,0,1944,0,98166,397.5,81,326743.8945439005
4.0,1.75,1900,8250,1.0,4,950,950,1955,0,98006,380.0,70,536547.8856662686
